index,MainBranch,Employment,Country,Age1stCode,LearnCode,YearsCode,LanguageHaveWorkedWith,Age,Gender
963,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,Friend or family member,30,Bash/Shell;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;PowerShell;Python;SQL;TypeScript;VBA,45-54 years old,Man
964,I am a student who is learning to code,Employed part-time,Sweden,18 - 24 years,School;Online Courses or Certification,6,Haskell;JavaScript;Kotlin;Node.js;PHP;Python;SQL,25-34 years old,Woman
965,I am a student who is learning to code,"Student, part-time",United States of America,5 - 10 years,School;Online Forum;Friend or family member;Online Courses or Certification,3,C#;HTML/CSS;Java;JavaScript;Python,Under 18 years old,Man
966,I am a student who is learning to code,"Not employed, and not looking for work",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",1,HTML/CSS;JavaScript;Node.js;Python,Under 18 years old,Man
967,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Netherlands,11 - 17 years,Other (please specify):,40,C;Java;PHP;Python,45-54 years old,Man
968,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification",,HTML/CSS;Java;JavaScript;TypeScript,25-34 years old,Man
969,I am a developer by profession,Employed full-time,Spain,11 - 17 years,School;Colleague,30,HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,45-54 years old,Man
970,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,Other (please specify):,10,HTML/CSS;JavaScript;Kotlin;Python,25-34 years old,Man
971,I am a developer by profession,Employed full-time,India,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague",6,Python;SQL,18-24 years old,Man
972,I am a developer by profession,Employed full-time,Poland,11 - 17 years,Friend or family member,7,Bash/Shell;C++;HTML/CSS;Python;SQL,18-24 years old,Man
973,I am a developer by profession,I prefer not to say,Germany,18 - 24 years,Other (please specify):,30,Clojure;Python,45-54 years old,Man
974,I am a developer by profession,Employed full-time,India,11 - 17 years,School,10,Bash/Shell;Go;Node.js;SQL,25-34 years old,Man
975,I am a developer by profession,Employed full-time,Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",35,HTML/CSS;JavaScript;Node.js,45-54 years old,Man
976,I am a developer by profession,Employed full-time,Uruguay,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",15,Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,25-34 years old,Man
977,I am a developer by profession,Employed full-time,Netherlands,18 - 24 years,School;Online Forum;Online Courses or Certification;Colleague,18,Java;Kotlin,35-44 years old,Man
978,"I am not primarily a developer, but I write code sometimes as part of my work","Not employed, but looking for work",Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",20,HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL,25-34 years old,Man
979,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",10,C;Dart;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,25-34 years old,Man
980,I am a developer by profession,Employed full-time,Finland,11 - 17 years,School,28,Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,35-44 years old,Man
981,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,School;Online Forum,30,Bash/Shell;C;C++;Clojure;Java;JavaScript;PowerShell;Python;Ruby,35-44 years old,Woman
982,I am a developer by profession,Employed full-time,Netherlands,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague",10,Go;Groovy;HTML/CSS;JavaScript;Node.js;Swift,25-34 years old,
983,I code primarily as a hobby,Employed part-time,Brazil,25 - 34 years,Other (please specify):,30,,45-54 years old,Man
984,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Other (please specify):",20,JavaScript;Node.js;TypeScript,25-34 years old,Man
985,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Czech Republic,5 - 10 years,Friend or family member,20,Bash/Shell;C++;Python,35-44 years old,Man
986,I am a student who is learning to code,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,11 - 17 years,School,,C++;HTML/CSS;Java;JavaScript;Matlab;Python,18-24 years old,Woman
987,I code primarily as a hobby,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",6,HTML/CSS;JavaScript;Node.js;Python;SQL;Swift;TypeScript,Under 18 years old,Man
988,I am a developer by profession,Employed full-time,Belgium,11 - 17 years,Other (please specify):,40,Bash/Shell;C#;C++;PowerShell;Python;SQL,55-64 years old,Man
989,I am a developer by profession,Employed full-time,France,18 - 24 years,Online Courses or Certification,5,Bash/Shell;HTML/CSS;JavaScript;Python;TypeScript,25-34 years old,Man
990,I am a developer by profession,Employed full-time,Tunisia,11 - 17 years,School,,Assembly;C;C++;Java;Kotlin;PHP;SQL,18-24 years old,Man
991,None of these,"Student, full-time",Australia,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member",,HTML/CSS;JavaScript;Node.js;Python,18-24 years old,Man
992,I am a developer by profession,Employed full-time,Netherlands,18 - 24 years,School,7,C++;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,25-34 years old,Man
993,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,5 - 10 years,Other (please specify):,46,C#;HTML/CSS,45-54 years old,Man
994,I am a student who is learning to code,"Student, full-time",Netherlands,18 - 24 years,School,4,Bash/Shell;C;Go;HTML/CSS;JavaScript;Matlab;Node.js;Python;SQL,18-24 years old,Man
995,I code primarily as a hobby,"Not employed, and not looking for work",Indonesia,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",8,C;C#;C++;Dart;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;Python;SQL;TypeScript,18-24 years old,Man
996,I am a developer by profession,Employed full-time,India,18 - 24 years,School,10,Bash/Shell;Java;JavaScript;Kotlin,25-34 years old,Man
997,I am a developer by profession,Employed full-time,Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification",21,HTML/CSS;JavaScript;TypeScript,25-34 years old,Man
998,I am a developer by profession,Employed full-time,Romania,11 - 17 years,School,15,Objective-C;Swift,25-34 years old,Man
999,I am a developer by profession,"Student, full-time",Italy,11 - 17 years,School,8,Assembly;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL,18-24 years old,Man
1000,I am a developer by profession,Employed full-time,Canada,35 - 44 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Colleague",20,C#;JavaScript;Python;TypeScript,35-44 years old,Man
1001,I am a developer by profession,Employed full-time,South Africa,11 - 17 years,School,10,SQL,35-44 years old,Man
1002,I am a student who is learning to code,"Not employed, but looking for work",India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",3,C++;HTML/CSS;Java;JavaScript;Python;SQL,18-24 years old,Man
1003,I am a developer by profession,Employed full-time,Italy,11 - 17 years,School,11,C#;HTML/CSS;JavaScript;Node.js;Python;TypeScript,25-34 years old,Man
1004,None of these,Employed part-time,Germany,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Other (please specify):",9,C;C++;Matlab;Python;SQL,18-24 years old,Man
1005,I am a developer by profession,Employed full-time,France,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member",12,Assembly;Bash/Shell;C;Go;HTML/CSS;JavaScript;Python,18-24 years old,Man
1006,I am a student who is learning to code,"Not employed, but looking for work",Israel,11 - 17 years,Other (please specify):,6,C#;C++;HTML/CSS;JavaScript;SQL,18-24 years old,Man
1007,I am a developer by profession,"Student, full-time",United States of America,Younger than 5 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",15,Assembly;Bash/Shell;C;C++;Dart;Erlang;HTML/CSS;JavaScript;Node.js;Python,18-24 years old,Man
1008,I am a developer by profession,Employed full-time,Canada,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",12,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;Python;Ruby;SQL;TypeScript,35-44 years old,Man
1009,I am a developer by profession,"Not employed, but looking for work",Turkey,35 - 44 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",3,C#;HTML/CSS;JavaScript;SQL,35-44 years old,Man
1010,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Online Courses or Certification,15,Bash/Shell;C#;Go;HTML/CSS;JavaScript;Node.js;Python;SQL,35-44 years old,Man
1011,I am a developer by profession,Employed part-time,United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Friend or family member,32,Bash/Shell;Go;Java;Node.js;Python,35-44 years old,Woman
1012,I am a developer by profession,Employed full-time,Netherlands,11 - 17 years,School,10,HTML/CSS;JavaScript;Node.js;PHP,18-24 years old,Man
1013,I am a developer by profession,"Student, full-time",Viet Nam,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague",4,HTML/CSS;JavaScript;TypeScript,18-24 years old,Man
1014,"I used to be a developer by profession, but no longer am","Not employed, but looking for work",Hong Kong (S.A.R.),18 - 24 years,School,10,Go;Java;Node.js;PowerShell;SQL;TypeScript,25-34 years old,Man
1015,I am a developer by profession,"Independent contractor, freelancer, or self-employed",The former Yugoslav Republic of Macedonia,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",6,HTML/CSS;JavaScript;Ruby,18-24 years old,Woman
1016,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",23,Scala;TypeScript,35-44 years old,Man
1017,I am a developer by profession,Employed full-time,Serbia,5 - 10 years,Other (please specify):,28,C#;Java;JavaScript;Node.js;Ruby;SQL,35-44 years old,
1018,I am a developer by profession,Employed full-time,Botswana,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Colleague",6,C#;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL,18-24 years old,Man
1019,I am a developer by profession,Employed part-time,Algeria,25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",5,JavaScript;PHP,25-34 years old,Man
1020,I am a developer by profession,Employed full-time,Serbia,25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",5,HTML/CSS;JavaScript;Node.js;TypeScript,35-44 years old,Man
1021,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Romania,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",13,JavaScript;PHP;Python,35-44 years old,Man
1022,I am a developer by profession,Employed full-time,Norway,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",23,Bash/Shell;Java;Rust;SQL,45-54 years old,Man
1023,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",6,Python;SQL,18-24 years old,Man
1024,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,11 - 17 years,Other (please specify):,38,Bash/Shell;C++;PHP;PowerShell;Python;SQL;VBA,45-54 years old,Man
1025,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,Other (please specify):,12,C#,25-34 years old,Man
1026,I am a developer by profession,"Student, full-time",Senegal,18 - 24 years,Online Courses or Certification;Colleague,5,HTML/CSS;Java;JavaScript;Python,25-34 years old,Man
1027,I am a student who is learning to code,"Student, full-time",United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",4,Bash/Shell;HTML/CSS;JavaScript;Python;Rust,Under 18 years old,Man
1028,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",23,Bash/Shell;HTML/CSS;Java;JavaScript;PowerShell;Python,25-34 years old,Man
1029,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,Other (please specify):,10,C++;HTML/CSS;JavaScript;PowerShell;Python;SQL,25-34 years old,Man
1030,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,Younger than 5 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",20,HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,35-44 years old,Man
1031,I am a developer by profession,Employed full-time,Bosnia and Herzegovina,25 - 34 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",8,C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,35-44 years old,Man
